Real_Name,MSISDN,Known_TAC,Known_LAI,Known_Network
Marilyn Bautista,46776616784,86305924,240-40-5378,5G
Kelly Wilson,46791701378,10017361,240-62-7595,3G
James Smith,46717136029,35269114,240-14-8449,4G
Kimberly Taylor,46759700609,35949896,240-31-4364,4G
Katherine Walker,46755238580,35952986,240-25-6708,4G
Michael Peterson,46750208870,35644213,240-36-9495,4G
Jeffrey Pineda,46779036580,86595131,240-18-9636,4G
Mrs. Alicia Bartlett,46710600338,86876801,240-92-3376,5G
Shannon Rogers,46740887799,86655915,240-33-9949,4G
Kevin Underwood,46745692874,86043513,240-41-8550,4G
Andrew Lara,46715058525,86917450,240-93-1234,5G
Brooke Woods,46782558835,35794733,240-18-7950,4G
Ashley Anderson,46761105727,86663178,240-63-2624,5G
Mario Small,46721354047,35588843,240-53-2753,4G
Victor Patel,46743561334,86718054,240-18-4103,5G
Karen Price,46749280510,35380753,240-21-1629,4G
Paul Cook DDS,46798213938,35426752,240-65-8311,4G
Cynthia Maxwell,46799187046,86521677,240-67-4069,5G
Cheryl Peck,46742851462,35561912,240-23-4706,4G
David Boyd,46719500586,86379062,240-17-3304,5G
Jared Harmon,46770409832,10748987,240-11-3581,3G
Kerri Chavez,46777689029,35312583,240-35-9375,4G
Teresa Johnson,46720277561,35003722,240-33-3084,4G
Valerie Thornton,46759437769,10805497,240-67-7313,3G
Kimberly Ford,46711870115,10503034,240-53-2022,3G
Catherine Howard,46781178324,10663318,240-42-2526,3G
Margaret Jennings,46710694961,35222513,240-72-5659,4G
Devon Sampson,46766112266,35229192,240-29-7524,4G
Kevin Davis,46754859977,35651391,240-47-7521,4G
Benjamin Vaughn DDS,46714776785,10744359,240-81-7152,3G
Carl Hill,46799537511,10758003,240-52-7681,3G
Andre Bender,46732736091,35235994,240-53-9722,4G
Roberto Turner,46769570596,10513875,240-58-9779,3G
Michael Ford,46733760973,86690700,240-45-9955,4G
James Li,46769465489,86224182,240-32-6369,5G
Kevin Rollins,46785482443,35739422,240-43-2682,4G
Dustin Valenzuela,46718765063,10767809,240-44-2968,3G
Fernando Wise,46734895828,10524608,240-13-8392,3G
Aaron Berger DDS,46776293900,10561446,240-10-6552,3G
Adam Vang,46761856254,35467583,240-68-8379,4G
Justin Lopez,46774515960,35662868,240-48-9725,4G
Kristin Dickerson,46753900928,86105799,240-62-7523,5G
Julia Rosales,46763798337,35383152,240-72-8538,4G
Paul Wood,46748620526,35310649,240-74-7146,4G
Steven Miles,46766533676,35962735,240-60-8316,4G
Eric Williams,46720851056,86243907,240-26-1105,5G
Jerome Nicholson,46712902607,10103896,240-21-2446,3G
Shannon Matthews,46755745469,10186833,240-89-8119,3G
Samuel Esparza,46727187069,35403189,240-87-6006,4G
Kimberly Rodriguez,46754916300,35477617,240-87-9075,4G
Elizabeth Leonard,46764717184,35989873,240-78-7303,4G
Edward Spencer,46740432633,10324108,240-41-1577,3G
Michael Edwards,46786502475,10205705,240-94-9299,3G
Joseph Harrison,46717782733,35702673,240-43-1435,4G
Christopher Mckenzie,46763681949,35066126,240-75-5228,4G
David Richardson,46778109885,35859730,240-61-8061,4G
Tanner Fisher,46789109458,35073736,240-13-8776,4G
Steve Walker,46768734685,86199899,240-80-9226,4G
Dylan Marshall,46761268050,86597816,240-45-1715,5G
Mark Morrison,46785939411,35871044,240-81-1094,4G
Emily Lambert,46727235805,35741546,240-79-4456,4G
Stephen Stevenson,46744184933,35116702,240-46-9425,4G
Leslie Johnson,46765145794,35074111,240-77-3833,4G
Holly Carlson,46778053753,86008418,240-89-4320,5G
Michael Phillips,46769368823,86945246,240-60-5276,5G
Jonathan White,46721799040,35676776,240-29-4078,4G
Corey Moore,46763687207,35067579,240-96-8732,4G
Christopher Williams,46799748574,35543264,240-53-4950,4G
Gloria Henry,46760475140,35389297,240-92-1566,4G
Veronica Cisneros,46736572197,35771132,240-56-8364,4G
Martha Smith,46782957019,35929007,240-94-3662,4G
Darren Cole,46717017955,10688499,240-46-2412,3G
Matthew Johnson,46770089647,86475738,240-19-2993,5G
Jonathan Velasquez,46788002743,35675827,240-92-6780,4G
Jared Gray,46786122801,35908512,240-54-6933,4G
Dustin Reid,46749336769,35663610,240-40-8777,4G
Jerry Bush,46782884333,35702962,240-62-5733,4G
Lindsey Holden,46717015032,35825942,240-98-6913,4G
Victor Jones,46779839612,86810250,240-12-1448,5G
Margaret Sullivan,46776881327,86913757,240-34-6140,5G
Crystal Turner,46741292075,35346415,240-41-2751,4G
Matthew Kelley,46717723047,35969246,240-89-4945,4G
Jonathan Gomez,46798679639,35032664,240-64-8179,4G
Amanda Moore,46793145594,35646629,240-64-1836,4G
Monica Bennett,46749768837,35832441,240-46-5492,4G
Angel Chavez,46735017156,86060528,240-65-9987,4G
Brian Kennedy,46712592536,35442632,240-29-1226,4G
Amanda Mccullough,46743433880,35848203,240-76-9496,4G
Lisa Bennett,46782597655,86381560,240-22-1720,5G
Christina Davis,46716739013,86547993,240-65-2929,5G
Donna Moreno,46736803951,35406771,240-48-1096,4G
Laura Cohen,46791178927,35143462,240-23-6643,4G
Patrick Wilson,46767851740,86706826,240-14-6796,5G
Jessica Pearson,46732537065,35129674,240-73-7272,4G
Michelle Parker,46713567867,35356858,240-20-8451,4G
Arthur Mitchell,46728444906,35563998,240-26-6087,4G
Emily Chen,46787682686,35391340,240-87-6849,4G
Paula Smith,46714419749,35585321,240-29-1634,4G
Austin Phillips,46746373559,35343288,240-60-6697,4G
Mary Taylor,46733157857,10771754,240-70-7433,3G
Brandy Mcdonald,46711123614,35963468,240-47-2057,4G
David Williams,46734212194,35782113,240-35-4207,4G
Mary Hoffman,46718357956,35993497,240-29-1814,4G
Elizabeth Moore,46777516956,35420869,240-25-3819,4G
Michelle Allen,46757850103,35078508,240-23-6943,4G
Jennifer Parks,46714745150,10707518,240-62-9728,3G
Jill Stanley,46752252836,35740487,240-78-2050,4G
Mark Mueller,46793267946,10008036,240-73-5009,3G
Robert Miller,46767352128,86164437,240-61-3979,5G
David Walters,46785921016,86218323,240-22-8856,4G
Dr. Jennifer Owens,46730312159,10641667,240-38-3455,3G
Devon Gonzalez,46733032465,35008168,240-67-7276,4G
Natalie Brown DVM,46794496101,86987690,240-90-4145,5G
Erin Lopez,46793487682,35578764,240-52-3894,4G
Jeffrey Clarke,46754653148,35824945,240-35-4974,4G
Daniel Alvarado,46786095096,35747519,240-83-3276,4G
Mike Ross,46713373321,35145205,240-17-1052,4G
Michael Hatfield,46737170619,10879774,240-48-6826,3G
Melissa Smith,46723651329,86768071,240-15-3995,5G
Wanda Lewis,46782882976,86811982,240-71-5243,5G
Sara Moss,46715688505,86308474,240-45-7353,5G
Zachary Curry,46772532618,35902628,240-18-4804,4G
Brianna Nguyen,46799786519,35033645,240-94-4943,4G
Jasmine Harvey,46794614132,86749497,240-67-3046,5G
Kevin Lamb,46725886372,86994423,240-31-9073,4G
John Cooper,46753362046,35227142,240-71-8350,4G
Amy Arias,46717126338,35640572,240-70-1356,4G
Tiffany Johnson,46723969223,35671064,240-78-9205,4G
David Wright,46726433681,35125605,240-43-9045,4G
Sharon Robinson,46759849455,35037901,240-94-8462,4G
Nicholas Burke,46785546398,35525128,240-57-6968,4G
Kenneth Rodriguez,46789517504,86478427,240-67-1609,5G
Anthony Smith,46713103781,86554237,240-32-3039,5G
Mr. Joshua Ortiz,46749816776,10069745,240-47-3770,3G
Lauren Young,46771307656,86239764,240-55-5974,5G
Brianna Clark,46786465983,35486010,240-49-6040,4G
Elizabeth Gregory,46731905525,86113260,240-62-9047,4G
Tina Vasquez,46746355296,35636045,240-45-8636,4G
Robert Mccall,46786585468,86791273,240-62-1259,5G
Nicholas Jones,46764303440,35246797,240-64-6171,4G
Heather Manning,46710609003,35585896,240-42-6432,4G
Maria Mason,46715540190,35875602,240-26-4689,4G
Kimberly Hoffman,46782107732,35985901,240-80-9897,4G
Ashley Carr,46766415658,35246464,240-95-3655,4G
Elijah Johnson,46744075749,35086569,240-12-8142,4G
Darren Diaz,46743986019,10605128,240-81-6594,3G
Cheryl Simmons,46754962203,35501078,240-27-5701,4G
Taylor Noble,46758245656,35276016,240-85-9431,4G
Pamela Bradley,46792970878,35210425,240-83-6092,4G
John Carter,46773939654,35083746,240-37-2446,4G
Gina Ferguson,46757994791,10444755,240-52-8129,3G
Jason Contreras,46733732767,86706601,240-59-8645,4G
Robert Ford,46763293964,10559800,240-27-6289,3G
Crystal Wilson,46714378065,86030158,240-88-7200,5G
Tracy Sullivan,46735883303,86165992,240-18-5426,5G
Carla Morris DVM,46718666777,35700823,240-62-4975,4G
Samantha Hernandez,46731124455,86649054,240-84-9335,4G
Kathryn Ramsey,46774652381,86475278,240-91-7992,5G
Michelle Peters,46745700513,86036080,240-42-8182,4G
Chase Brown,46756804731,10319684,240-72-1357,3G
Ashley Mcdonald,46774125786,86577907,240-16-8909,4G
Patrick Cline,46719989349,35010589,240-27-8549,4G
Erin Carson,46784954452,35287965,240-38-6479,4G
Jacob Farrell,46766099477,35364673,240-71-1579,4G
Douglas Rosario,46796743361,35148694,240-75-6409,4G
Paula Reed,46721658782,86224418,240-43-5364,5G
Andrea Martin,46770962465,86158834,240-26-2865,5G
Charlene Nicholson,46765891927,86101659,240-98-7373,5G
Kathleen Padilla,46742881204,35850012,240-57-4364,4G
Chad Farmer,46751687359,86193321,240-74-6080,5G
Bailey Meza,46716960219,35653570,240-19-5087,4G
Lisa Mendez,46792773486,10689870,240-29-3849,3G
Joshua Floyd,46728794580,10463609,240-55-2275,3G
John Frey,46798143327,35758462,240-42-5918,4G
Michael Kelly,46736061012,86540088,240-27-6221,5G
Sarah Morgan,46758878285,10759144,240-88-5482,3G
Cheryl Campbell,46742887632,35438993,240-80-4876,4G
Stephen Fowler,46734333249,10325588,240-96-3603,3G
Shawn Phillips,46731425609,35189100,240-88-2883,4G
John Miles,46743495435,10617693,240-32-5334,3G
Alicia Herrera,46751094158,86001229,240-12-8668,4G
Phillip Morales,46714654247,35401783,240-33-6700,4G
Michael Carter,46735092055,35361300,240-36-4138,4G
James Cruz,46767691307,10333478,240-15-6882,3G
Ariel Alexander,46798463035,10870471,240-68-7020,3G
Ellen Henderson,46781178892,10882470,240-70-2159,3G
Lisa Matthews,46736161598,10308151,240-55-7687,3G
Sean Merritt,46772402576,35614040,240-30-8888,4G
Matthew Young,46718806813,86780868,240-93-7705,5G
James Johnson,46774658245,86944258,240-39-6958,5G
Christopher Bender,46721575971,35842939,240-79-1143,4G
Tracy Wells,46788824844,35018226,240-56-3738,4G
Theodore Craig,46783622095,35617231,240-22-3331,4G
Courtney Baxter,46730940713,35916376,240-88-4242,4G
Tara Downs,46792367891,86289014,240-56-1154,5G
Stephen Robinson,46734027758,35382621,240-23-7558,4G
Nathaniel Munoz,46788727682,35072283,240-82-5034,4G
Kathleen Rojas,46795159551,35833223,240-94-6450,4G
Timothy Gallegos,46795076215,86908472,240-40-3586,5G
Andrew Chen,46711613483,10412860,240-28-7095,3G
Theodore Barnes,46739739570,86387737,240-72-8102,4G
Samantha Valdez,46730025496,35089363,240-93-1529,4G
Rebecca Bailey,46797585323,86861858,240-24-3466,5G
Christina Jones,46720342588,35694934,240-13-5482,4G
Audrey Pitts,46788275085,86452184,240-91-8453,4G
Steven Graham,46773474210,35544217,240-28-9477,4G
Ana Martinez,46731962053,10477982,240-18-4166,3G
Thomas Acosta,46733853135,10736754,240-67-1256,3G
Robert Stark,46760755465,35174022,240-30-6196,4G
Jennifer Guerrero,46780143567,86303250,240-71-4217,5G
Dan Nichols,46721085378,35053331,240-59-9015,4G
Carlos Esparza,46747916542,35889974,240-95-2513,4G
Isaac Jefferson,46794063556,35779117,240-28-3889,4G
Tracy Peters,46723662464,35611830,240-13-3763,4G
Mark Wall,46722468692,86053792,240-64-4317,5G
Richard Perez,46767138607,35112362,240-70-5976,4G
Corey Tran,46792510808,86884506,240-94-4145,5G
Aimee Hall,46790652206,35974452,240-57-4634,4G
Jonathan Morrison,46736372198,10557732,240-94-3339,3G
Stephanie Miller,46772818252,86649086,240-14-4781,5G
Adrian Alexander,46798919361,10413059,240-24-5568,3G
Jennifer Gonzalez,46769066485,86488161,240-62-5782,5G
Natalie Sullivan,46713859735,10517653,240-10-9696,3G
Jennifer Henry,46776536470,86259488,240-27-8972,4G
Debra Lloyd,46724447688,10243305,240-54-8273,3G
Crystal Walker,46764138351,10582081,240-44-3417,3G
Jennifer Walker MD,46711304982,35589480,240-49-5747,4G
Elizabeth Reynolds DVM,46785616305,35224310,240-94-3846,4G
Jacob Romero,46716846090,86225784,240-26-8255,4G
Laura Leon,46743211419,10070377,240-26-4974,3G
Ashley Lucas,46753925869,35271557,240-12-2462,4G
Jasmine Ramirez,46728351471,86566967,240-64-1889,5G
Brandy Cunningham,46719739896,35397505,240-61-8418,4G
Manuel Huber,46777882375,10536486,240-78-4624,3G
Raymond Duncan,46789522294,35906193,240-36-9813,4G
Kathleen Miller,46761245077,35365967,240-23-9759,4G
Curtis Melendez,46765079098,35784795,240-93-1988,4G
Jessica Horn,46738911861,35715371,240-30-1882,4G
Donald Brown,46760122243,35214274,240-35-9233,4G
Kathryn Jackson,46799953316,10798220,240-84-1206,3G
Kathleen Wheeler,46731603101,35474551,240-21-4718,4G
Nicholas Roberts,46711973915,10559471,240-67-7840,3G
Catherine Combs,46736706369,86435643,240-68-3301,5G
Virginia Patterson,46774924774,86096541,240-91-9925,4G
Thomas Green,46744021442,10572735,240-27-3472,3G
Jennifer Jones,46733216006,86292228,240-66-9276,4G
Julia Anderson,46730057988,86569936,240-57-4020,5G
Angela Jones,46783333762,86855434,240-26-8171,4G
Caleb Aguilar,46783464133,35590861,240-57-5416,4G
Tracy Anderson,46779291066,35692057,240-87-2287,4G
Anita Mcdonald,46792314258,35257789,240-78-1487,4G
Nicholas Cantu,46785623580,35386858,240-56-7898,4G
Lauren Jones,46775196626,35280645,240-58-1831,4G
Gina Campbell,46743915417,86136898,240-40-7216,5G
Dana Pacheco,46731763210,86175407,240-36-8713,4G
Brandon Cantu,46714204181,35887957,240-49-9060,4G
Christopher Lee,46716709332,86452436,240-73-8770,4G
Brian Vega,46742662444,35076216,240-16-9095,4G
Sara Cole,46778608082,35152703,240-62-8186,4G
Emily Parker,46783276188,35381234,240-32-6660,4G
Jessica West,46715273346,35158302,240-65-4965,4G
Karen Potts,46719151948,86922380,240-97-5406,5G
Cory Mcgee,46747695935,35021637,240-67-7469,4G
Rachael Mcdonald,46727934464,35454394,240-34-7250,4G
Jamie Mcknight,46718834820,86928711,240-84-9577,4G
Dr. Amy Robinson MD,46743623951,86106242,240-61-7839,5G
Richard Alvarez,46723131804,35681669,240-90-6885,4G
Cindy Schneider,46713809601,10175325,240-62-7277,3G
John Roy,46762837348,10783924,240-39-3073,3G
Debbie Schneider,46780897827,10202380,240-23-3530,3G
Heather Johnson,46749170544,35918124,240-25-1567,4G
Michael Todd,46774064503,86582362,240-11-9560,4G
Sara Mathis,46719615754,10619328,240-58-4699,3G
Justin Edwards,46741625253,10890733,240-17-8246,3G
Jennifer Ortiz,46736645167,10273527,240-23-3206,3G
Andrew Campos,46786152328,35779177,240-66-8172,4G
Dr. Howard Smith DVM,46778077132,86392417,240-31-8950,4G
James Watson,46734936970,86078281,240-89-2268,5G
Kathy Morgan,46751111361,35765034,240-84-6030,4G
Walter King,46721206350,86959998,240-97-1331,5G
Anthony Roberts,46781663206,86025394,240-43-8579,4G
Mark Sharp,46784001589,35187130,240-40-1265,4G
Victor Burke,46733788717,35431476,240-36-7795,4G
Michael Morris,46718351245,10438774,240-41-3712,3G
Willie Thomas,46771578830,35361450,240-82-5744,4G
Mindy Ramirez,46768823133,86611796,240-39-9945,4G
Carla Meyers,46788768807,86618882,240-60-7103,5G
Emily Clark,46751747000,35292439,240-40-8877,4G
Kendra Martinez,46782462504,35947597,240-20-9010,4G
Kristen Norman,46771086560,10414380,240-45-2773,3G
Thomas Mason,46769937172,86084694,240-86-5832,5G
David Taylor,46768270595,35191506,240-65-6591,4G
Susan Macias,46710892284,10613006,240-64-9012,3G
Michael Gibson,46741599913,35573135,240-89-7463,4G
James Rodriguez,46750049280,86490283,240-23-5138,5G
Holly Clark,46776205608,10844492,240-11-3670,3G
Raymond Key,46780881081,86290157,240-27-4544,5G
Kevin Perez,46781128077,10067799,240-21-6390,3G
Samantha Wade,46746998169,86742647,240-19-5040,5G
Joseph Gilbert,46728771842,86473915,240-82-7433,5G
John Smith,46783953547,86849151,240-31-2980,5G
Timothy Cabrera,46722797466,86622644,240-28-5177,5G
Tara Figueroa,46797244476,35217912,240-55-4411,4G
Elizabeth Mccormick,46750313104,35300489,240-67-1018,4G
Curtis Dunn,46769951140,35224330,240-13-4611,4G
Debra Kennedy,46717339838,86778513,240-95-4788,5G
Corey Macias,46796028794,10231144,240-84-2956,3G
Victor Taylor,46740432640,35662368,240-68-8559,4G
Christian Henson,46745177357,10768013,240-29-2408,3G
Allen Lawson,46758723459,35167599,240-74-9632,4G
Kevin Contreras,46739274445,35861221,240-74-7711,4G
Melissa Monroe,46758448102,35376087,240-55-3468,4G
Manuel Saunders,46790811509,35792064,240-91-6852,4G
Cynthia Coleman,46786301164,86158211,240-79-2733,5G
Molly Chen,46742298415,35004170,240-12-1453,4G
Andre Marks,46783297207,35828457,240-78-2388,4G
Elizabeth Rodriguez,46721018992,86690666,240-34-2591,5G
Kimberly Rogers,46729105661,86936698,240-52-5799,5G
Rebecca Reid,46776633032,86121668,240-81-8742,4G
Jack Howard,46729808297,10740939,240-69-3866,3G
Deborah Collins,46775875125,35299477,240-39-1145,4G
Catherine Hicks,46719565697,86485910,240-39-1659,5G
Richard Hart,46754920447,86628203,240-19-8819,4G
Anne Knight,46717581002,86251839,240-47-6622,5G
Kevin Shields,46752058334,35254079,240-69-7102,4G
Daniel Green,46799746696,86231226,240-24-7784,5G
Brian Wallace,46732334732,35476514,240-38-5937,4G
Earl Rhodes,46759520621,86101310,240-49-1329,5G
Linda Guerrero,46769586553,35349207,240-71-7190,4G
Jeremy Clark,46751208934,86858058,240-75-4041,5G
Wendy Rivers,46724430469,86942593,240-37-2992,5G
Adam Jimenez,46792376464,10528269,240-71-2561,3G
Jessica Page,46787214178,35070509,240-51-5261,4G
Cory Krueger,46728285990,35811133,240-28-6892,4G
Jamie Horton,46763283193,86877234,240-66-5525,5G
Adam Weaver,46747625120,35725104,240-13-5666,4G
Nicole Brown,46742136324,86113532,240-44-6704,5G
Kelly Navarro,46798359314,35562590,240-63-8490,4G
Tracy Brown,46749033798,35402576,240-79-7818,4G
Jody Hays,46785841294,35423419,240-82-1504,4G
Geoffrey Sheppard,46776846646,10694453,240-59-1114,3G
William Thomas,46728955002,35059888,240-19-1459,4G
Daisy Alvarado,46750828828,10406557,240-44-5350,3G
Selena Cole,46724293853,35093638,240-50-6669,4G
Craig Miller,46748805640,35716369,240-71-7850,4G
Rebecca Castaneda,46757149071,86831516,240-51-4810,5G
Mark Hardin,46783967703,35632551,240-80-3478,4G
Jennifer Wilson,46729075099,35524441,240-41-3725,4G
Angela Bond,46775473817,86475330,240-54-2770,5G
Mr. Bryan Beasley MD,46731049190,35594131,240-67-8996,4G
Gail Leach,46761376257,86559453,240-56-9373,4G
Steven Kennedy,46758401308,35555945,240-58-9644,4G
Stephen Morrison,46778297999,35507426,240-54-5064,4G
Philip Perkins,46782943416,35942013,240-35-3050,4G
Nicholas Garrison,46762606981,35184561,240-41-7759,4G
Shannon Valdez,46768021583,86683189,240-74-5152,5G
Natalie Caldwell,46741788504,35766630,240-75-4283,4G
Ashley Bauer,46757961043,35663057,240-67-5935,4G
Sherri Garcia,46784813558,86051374,240-37-4866,5G
Melissa Carlson,46751143566,35546622,240-67-7384,4G
Valerie Duran,46717782634,86744261,240-92-3939,5G
Alejandra Martin,46771664492,35792330,240-62-8616,4G
Sean Kelley,46757174978,35655056,240-62-5734,4G
Carol George,46770556236,35219831,240-29-8354,4G
Ricky Miller,46799811317,86616013,240-81-4270,5G
Kevin Pham,46796510271,35828161,240-53-1649,4G
Joseph Miller,46775985129,86859466,240-80-5042,5G
Mary Dodson,46749993954,35932443,240-73-6774,4G
Dennis Rogers,46710048720,86449426,240-78-7458,5G
Matthew Wells,46775316085,35569909,240-82-4110,4G
Jason Chavez,46780964591,35484689,240-60-8460,4G
Shannon Shaffer,46797240296,35797976,240-81-8392,4G
Eric Harrison,46728616354,86274291,240-16-7090,5G
Jose Morris,46770402442,35583776,240-20-4375,4G
Maria Long,46776795621,35451614,240-68-7409,4G
Sabrina Contreras,46784648021,35196649,240-61-4843,4G
Dennis Smith,46719870307,86040584,240-88-5417,5G
Amanda Mclaughlin,46798037141,35209112,240-63-2688,4G
Michelle Tran,46762086051,35062402,240-54-4073,4G
Michael Martinez,46732800637,10878388,240-63-8393,3G
Karen Flores,46742053929,10224793,240-38-8776,3G
Nancy Suarez,46793577654,86849104,240-10-9728,4G
Yolanda Coleman,46740894659,10451553,240-63-5901,3G
Nicholas Lane,46744385731,35401295,240-46-3113,4G
Stephen Underwood,46744231367,86293132,240-14-6401,5G
Teresa Chase,46715484801,35282240,240-10-7051,4G
Eric Brown,46754828060,35384382,240-59-7212,4G
Justin Thomas,46753777273,35581067,240-35-5414,4G
Tim Washington,46780299179,35178258,240-47-9797,4G
Justin Martin,46748503931,35806991,240-34-7316,4G
Wendy Jones,46788547323,10504999,240-42-6387,3G
Kristen Hayden,46736352995,86791043,240-33-5302,5G
Clarence Lewis,46768927573,35683820,240-16-5439,4G
Misty Hoffman,46713144766,86902889,240-15-5123,5G
Lisa Sandoval,46753264830,35167078,240-69-5067,4G
Debbie Thompson,46789693062,10054780,240-30-3377,3G
Jennifer Rodriguez,46777921168,86284600,240-71-1811,5G
Reginald Hill,46798940009,35295599,240-66-1776,4G
Laurie Carter DDS,46718585919,35783021,240-70-7569,4G
Albert Thomas,46768482651,35109047,240-86-8786,4G
Scott Bautista,46758291558,35527409,240-28-9339,4G
Jon Smith,46712908003,35489697,240-12-8234,4G
Jessica Day,46774835417,35235778,240-15-6022,4G
Sarah Richards,46740780850,10917184,240-27-6175,3G
Jill Porter,46795364161,10792173,240-83-3258,3G
Morgan Garrett,46746413676,86388822,240-34-9633,4G
Theodore Kelly,46763094979,10133685,240-35-5902,3G
Kristopher Lowe,46785215818,35404520,240-98-2314,4G
Nicole Ramirez,46775058371,35356936,240-31-8145,4G
Donna West,46761814027,86753867,240-42-6492,5G
Anthony Mercer,46764381293,35408948,240-23-9998,4G
Randall Copeland,46746328957,10418583,240-19-9601,3G
Tamara Tran,46780856127,10038148,240-50-2664,3G
Michael Scott,46768366156,35993859,240-69-1535,4G
Elizabeth Moore,46787346137,35534423,240-91-9787,4G
Ryan Marquez,46772955281,35942311,240-96-5499,4G
Brianna Fisher,46791633081,35162282,240-93-8574,4G
Kevin Friedman MD,46721954380,35428873,240-70-7779,4G
Shannon Evans,46788265576,35391134,240-44-5236,4G
Sabrina Ellis,46770639065,35854130,240-97-8356,4G
Christopher Smith,46768977703,10004902,240-32-4810,3G
David Banks,46795081424,86639888,240-26-1924,5G
Kristina Dominguez,46786933312,35922891,240-60-2088,4G
Jennifer Schmidt,46723080364,35495552,240-66-5937,4G
Daniel Stephens,46786077857,35536051,240-32-9747,4G
Yvonne Parker,46731035568,35801823,240-89-3845,4G
Charles Weber,46723200674,10919627,240-31-1972,3G
Stephen Todd,46794271290,10553964,240-69-9471,3G
Mrs. Teresa Robinson MD,46765181265,35682986,240-38-8956,4G
Larry Vincent,46714389986,86557099,240-70-8565,4G
Haley Greene,46746330195,10058697,240-61-3380,3G
Tammy Landry,46766873177,86769378,240-88-1224,5G
James Brown,46724547672,86553634,240-75-9758,4G
Andrew Mills,46715663183,10549880,240-93-5659,3G
Jared Watkins,46785784435,35740845,240-21-5047,4G
Amanda Villarreal,46722958177,86520746,240-91-6160,5G
Amber Cox DDS,46727370717,86025310,240-51-4789,5G
Rachel Nguyen,46784102729,86145979,240-67-7797,5G
Richard Gomez,46752010997,10495864,240-89-2804,3G
Kaylee Vargas,46794574185,10822209,240-63-8455,3G
Patricia Moore,46742923613,35766333,240-53-4435,4G
Tammy Harris,46784826821,35222832,240-61-8926,4G
Todd Allen,46766410516,35437000,240-14-2245,4G
Jeffrey Edwards,46757891710,86851481,240-11-3500,5G
Miranda Brock,46781681746,35756249,240-39-5766,4G
Valerie Hall,46734637573,86472800,240-88-3803,5G
Tony Sharp,46721577453,35112230,240-31-7399,4G
Evelyn Miller,46716535202,35501130,240-59-4608,4G
Sandra Perez,46759165747,35367985,240-48-4487,4G
William Turner,46797715594,86957352,240-83-5854,5G
Matthew Brewer,46743383652,35910108,240-94-6208,4G
Matthew Miller,46784110701,86385946,240-65-7513,5G
Makayla Floyd,46759450472,86511789,240-35-3963,5G
Travis Schwartz,46723059362,35357249,240-33-3676,4G
Elizabeth Khan,46784793368,35142287,240-69-2127,4G
Paige Adams,46766713245,10932001,240-24-8015,3G
Dana Bridges,46795409048,10105461,240-23-1265,3G
Amanda Wood,46798885044,10601516,240-59-4042,3G
Elijah Garcia,46782393733,10594547,240-79-6953,3G
Jessica Hayes,46713001798,35140548,240-77-2652,4G
Christopher Bennett,46730848152,35271261,240-12-7565,4G
Peter Robinson,46745603370,35628228,240-12-7121,4G
George Gonzalez,46781151736,10753587,240-94-3251,3G
John Smith,46795497260,35487082,240-59-9662,4G
Eduardo Smith,46799941042,35374313,240-14-2091,4G
Jerome Silva,46797567326,10247943,240-24-2561,3G
Karen Ford,46715776119,86833537,240-13-5625,5G
Tracy Robinson,46767039853,35515728,240-83-6095,4G
Travis Miller,46740151081,86079414,240-48-6645,5G
Angel Mccormick,46777226272,86753241,240-25-3922,5G
Elizabeth Rice,46792874283,35838908,240-62-5523,4G
Dawn Rodgers,46798172012,35890199,240-69-7466,4G
Elizabeth Garcia,46710106500,86261372,240-85-1837,5G
Shannon Mcclure,46769750131,10065592,240-66-9353,3G
Lisa Miller,46726816441,86186717,240-34-6560,5G
Shelia James,46742308604,35685338,240-19-9376,4G
Justin Richardson,46772118653,10653077,240-21-8934,3G
Charles Perez,46733854830,10431813,240-56-7137,3G
Julia Hart,46746996958,35777092,240-33-7118,4G
Joshua Johnson,46750658959,10537691,240-63-4535,3G
Andrew Dixon,46781678288,35872637,240-72-6181,4G
Keith Rose,46717183864,86721158,240-39-9154,4G
Peter Ramirez,46756785326,86042329,240-12-3254,5G
Joshua Garcia,46763574364,35215448,240-26-4629,4G
Robert Hayes,46755830915,86151967,240-22-6353,5G
Anthony Taylor,46755850476,35397330,240-21-1284,4G
John Fisher,46791055739,35329314,240-69-8402,4G
Lori Reed,46798533069,86994764,240-11-6842,5G
Jon Rogers,46727203708,35010360,240-46-4275,4G
Roberta Meyer,46725451876,35436056,240-29-6025,4G
Amber Lynch,46755938967,10407050,240-93-8864,3G
Heather Hamilton,46790884351,35085641,240-63-9432,4G
Erin Pollard,46737925107,86095942,240-36-3323,5G
Jimmy Cervantes,46743764248,35446539,240-92-3923,4G
Robin Callahan,46716168294,86291604,240-93-4992,5G
Tonya Brown,46735359317,10368241,240-29-2360,3G
Ricky Myers,46788908432,86653288,240-97-8022,4G
Francisco Parker,46711329492,35313594,240-41-2233,4G
Patrick Guzman,46770084389,35216464,240-97-5892,4G
Amanda Fitzgerald,46737646498,86079403,240-75-5017,5G
Brad Wagner,46751285777,10203567,240-92-5823,3G
Mark Fowler,46745557019,35981041,240-73-9020,4G
Mary Serrano,46727260671,35710672,240-63-7361,4G
Natasha Acosta,46797895587,35243709,240-24-1522,4G
Nancy Odonnell,46787089813,35212875,240-72-2440,4G
Jorge Russo,46719222297,35587715,240-57-1863,4G
Jeffrey Church,46782504304,35398317,240-57-9695,4G
