IMSI,MSISDN,IMEI,IP_Address,Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
240016582710910,467330068486,668513056188924,200.97.130.180,260326185456+0200,240,01,24001,12805052,20398749,12651523,240-01-6185,240-01-6185-26,4G,Tablet,32
234203684377140,447444545956,669071560030119,106.166.12.101,260404234212+0100,234,20,23420,63880205,71593244,54619331,234-20-6277,234-20-6277-35,4G,Tablet,878
206050719925751,324571440342,820280557567311,215.164.75.134,260404141132+0200,206,05,20605,55692294,31586303,29191434,206-05-4241,206-05-4241-91,5G,Smartphone,2193
234331406547651,447467490753,567651191383456,173.57.96.44,260406193815+0100,234,33,23433,55511842,68967303,57253330,234-33-9363,234-33-9363-16,3G,Tablet,1667
206104393939606,324663823919,284305249478745,79.80.166.79,260403202451+0200,206,10,20610,56518651,38604312,52000638,206-10-6654,206-10-6654-91,3G,Smartphone,1803
206207104341062,324964792317,616298401147882,32.126.165.147,260403132919+0200,206,20,20620,40238280,38633926,43154513,206-20-1251,206-20-1251-64,5G,Tablet,2725
3104806234436928,141515628379,481758547741733,162.243.131.180,260401170438-0800,310,480,310480,93470537,78297742,92830691,310-480-3804,310-480-3804-41,4G,Tablet,1859
240026626979553,467606496219,747929946588608,79.171.128.12,260405182141+0100,240,02,24002,13794944,34192171,15656461,240-02-6155,240-02-6155-37,5G,Smartphone,2846
3104106017943433,151280489072,898804523122868,51.55.134.218,260404145948-0800,310,410,310410,77137925,80557383,71047141,310-410-8657,310-410-8657-51,5G,IoT Device,2886
240053984822850,467016880925,597105080213060,23.206.184.118,260402091050+0100,240,05,24005,28881470,11960167,23003257,240-05-5351,240-05-5351-37,3G,Smartphone,348
240088165359851,467332092835,418895324249501,77.164.81.250,260403174626+0100,240,08,24008,20711931,15717358,27865995,240-08-9518,240-08-9518-37,5G,Smartphone,2165
240026020828968,467081433586,340567488358805,181.27.237.216,260408101643+0100,240,02,24002,28211683,27604616,25163645,240-02-2796,240-02-2796-43,5G,Smartphone,1832
240054471639282,467241436371,774221209239231,126.230.207.133,260408091414+0100,240,05,24005,14439110,23464828,11287363,240-05-2188,240-05-2188-37,5G,Smartphone,224
234200897207382,447777711842,528207462786309,194.220.78.209,260401233349+0100,234,20,23420,52062876,50289243,64850700,234-20-2768,234-20-2768-35,3G,Smartphone,701
234385558095794,447758166028,452310011362334,42.66.142.174,260403020133+0100,234,38,23438,64899496,50063114,60085892,234-38-2335,234-38-2335-27,3G,Smartphone,772
240076109583483,467391275362,504231357990523,126.141.115.19,260405095227+0200,240,07,24007,32910734,16473090,20330303,240-07-1634,240-07-1634-55,5G,Smartphone,1898
206016503066655,324851842381,511746939006663,85.88.54.200,260408002755+0100,206,01,20601,55292853,53869348,29630099,206-01-9004,206-01-9004-64,5G,Tablet,2468
3104109191809817,141555275370,132394854102336,206.44.71.224,260403083119-0600,310,410,310410,95940961,75373220,90381490,310-410-2063,310-410-2063-63,5G,Tablet,2026
234308643681281,447373105215,655030732783123,31.235.182.44,260405144711+0100,234,30,23430,77255737,59249524,54915124,234-30-7785,234-30-7785-27,3G,IoT Device,2755
240245705120461,467972346013,616466997303718,132.59.58.199,260321075222+0100,240,24,24024,32347516,16994325,25865392,240-24-6601,240-24-6601-63,4G,Tablet,91
240243684850701,467242235504,511338200571062,204.236.56.75,260405212227+0100,240,24,24024,11083148,27102345,11103428,240-24-7882,240-24-7882-55,4G,Smartphone,2325
3104109770706007,141561433700,472828099174436,76.48.217.213,260404000847-0600,310,410,310410,88784420,84686201,70533002,310-410-3621,310-410-3621-63,5G,Smartphone,1001
240167839018384,467303901034,924577150225590,129.153.198.180,260406102031+0200,240,16,24016,35114063,23625733,12257050,240-16-7991,240-16-7991-55,5G,Smartphone,2914
3101204559281515,141573653193,363176106652035,214.139.95.38,260407150306-0700,310,120,310120,98588215,79153176,92246238,310-120-8361,310-120-8361-49,4G,Tablet,2696
240040644742123,467094077780,916022217339776,110.18.63.223,260401235135+0200,240,04,24004,24826876,12664386,10220554,240-04-9834,240-04-9834-43,5G,Smartphone,108
206055431246740,324594043781,482103461195873,206.60.232.102,260407235429+0200,206,05,20605,44071768,31687364,54437918,206-05-8253,206-05-8253-64,5G,Smartphone,2146
3104107309095233,151231454615,342234922555196,76.48.217.213,260403085326-0700,310,410,310410,86680129,80552893,97878218,310-410-5288,310-410-5288-88,3G,IoT Device,2764
234152596971851,447347771631,523984999380962,31.126.252.58,260402162415+0100,234,15,23415,71833612,74686297,65590304,234-15-4629,234-15-4629-20,4G,Smartphone,1878
234305790571918,447886646936,543049666183359,47.51.177.219,260403031218+0100,234,30,23430,66605959,58853107,71045382,234-30-2140,234-30-2140-87,4G,Smartphone,633
206016951063611,324687408117,356017630699382,65.246.73.51,260407054048+0200,206,01,20601,32323628,39240726,35535083,206-01-7046,206-01-7046-91,4G,Smartphone,1484
240046427294361,467090982450,965674018146470,85.183.34.65,260405001014+0100,240,04,24004,15062309,16647485,24037244,240-04-5345,240-04-5345-53,5G,IoT Device,1248
234157314926622,447577603828,179709897100245,214.53.97.106,260402072334+0100,234,15,23415,67636810,74026572,67722696,234-15-2801,234-15-2801-35,5G,Smartphone,1475
206052152725978,324636740891,328945910599447,78.240.106.97,260405202657+0200,206,05,20605,51073863,43122474,44827228,206-05-2880,206-05-2880-91,5G,Smartphone,1191
234380442816458,447381063551,877078017263445,111.231.231.65,260402005749+0000,234,38,23438,60684504,63967649,62480616,234-38-6962,234-38-6962-35,3G,Smartphone,2175
234102812916350,447596026676,966887685272845,218.25.92.101,260404203205+0000,234,10,23410,56892381,69733767,66416572,234-10-1228,234-10-1228-35,3G,IoT Device,592
3104107306629315,120281788242,612020235594698,189.115.154.227,260403125943-0600,310,410,310410,89921930,70785293,93213134,310-410-7095,310-410-7095-30,4G,Smartphone,648
206016130858500,324576920990,721321122780908,29.145.135.109,260404035532+0100,206,01,20601,57038105,42162545,54355211,206-01-8690,206-01-8690-98,4G,Smartphone,2924
3101201184762974,161749791617,207323990276309,2.226.149.173,260402195653-0800,310,120,310120,97107467,71687709,72471209,310-120-6493,310-120-6493-63,4G,IoT Device,2491
3102601971112125,161702035713,513098433240642,206.80.212.15,260403134434-0500,310,260,310260,79360458,74711917,86175596,310-260-6649,310-260-6649-63,4G,IoT Device,297
234330882323511,447495225494,585327257031768,159.75.211.150,260405103844+0000,234,33,23433,72114896,53446728,51876487,234-33-8155,234-33-8155-87,4G,Tablet,1776
206100882230958,324829739889,461862701321097,218.116.123.171,260408003745+0200,206,10,20610,34331500,32053663,48195237,206-10-8941,206-10-8941-91,4G,Smartphone,521
3101204657967842,151211477320,233685400170269,131.219.58.111,260404043128-0600,310,120,310120,92790316,80970819,75249983,310-120-1025,310-120-1025-30,4G,Tablet,148
206010116821874,324564922073,601274335620229,174.14.70.84,260404104017+0200,206,01,20601,38453232,49340014,34471020,206-01-8342,206-01-8342-68,4G,Smartphone,2957
240075791805337,467951222959,391163545646005,40.218.109.97,260403061337+0200,240,07,24007,24529563,13802239,19806095,240-07-9379,240-07-9379-86,5G,Tablet,2776
240022238013702,467098194014,620989079613607,175.145.59.39,260404023243+0200,240,02,24002,26620554,14792433,26472790,240-02-2876,240-02-2876-81,3G,Smartphone,1242
3104801895539453,141552385214,651213011110559,27.98.206.43,260405195353-0700,310,480,310480,94051776,85515086,83872396,310-480-8632,310-480-8632-88,4G,IoT Device,2369
3102607213290162,120247876886,804711237859964,117.26.58.194,260402033703-0600,310,260,310260,87564752,83679413,76200169,310-260-6850,310-260-6850-41,5G,Smartphone,388
3102604061386748,141578304559,616794845765786,114.35.25.5,260406232819-0600,310,260,310260,88844922,92716396,65142872,310-260-8272,310-260-8272-88,4G,Tablet,943
234150304436199,447517152391,130656102929501,84.201.0.127,260407085739+0000,234,15,23415,60159968,56671946,66037969,234-15-4538,234-15-4538-87,4G,IoT Device,452
234335526666415,447570991907,914758708451743,172.187.212.82,260408050100+0000,234,33,23433,67532060,68537806,73651564,234-33-4986,234-33-4986-57,5G,IoT Device,2542
3102602872231304,120205129486,925849543504953,70.26.202.32,260406092232-0600,310,260,310260,84614517,91773852,84172138,310-260-2106,310-260-2106-63,4G,Smartphone,2803
3104801321475252,161743863222,195258637050757,63.156.66.213,260407172128-0500,310,480,310480,94516979,88548222,65528164,310-480-3308,310-480-3308-83,4G,Tablet,2502
206012000532853,324963105052,462592943838058,73.57.215.163,260407182432+0100,206,01,20601,53122777,35430409,39023398,206-01-9004,206-01-9004-23,3G,Tablet,536
3101208505651335,161750814322,855182258766327,22.97.241.124,260406145640-0700,310,120,310120,92535767,89832140,68195755,310-120-5469,310-120-5469-88,4G,Tablet,945
240046068144166,467611772942,102628836708058,113.163.209.250,260406071613+0200,240,04,24004,34965748,21564180,28601611,240-04-4006,240-04-4006-55,5G,Tablet,1229
234385228851587,447896846081,133919696200342,56.126.128.110,260320151125+0000,234,38,23438,59617221,72930774,58407432,234-38-4291,234-38-4291-36,4G,Smartphone,64
240045957874411,467284842172,752708064219404,56.252.171.137,260407043615+0200,240,04,24004,38858439,25866208,28690658,240-04-2163,240-04-2163-99,4G,Tablet,1773
206107788178847,324951371162,487047261124127,73.57.215.163,260406073953+0200,206,10,20610,35049877,36853699,42471377,206-10-3434,206-10-3434-64,3G,Smartphone,136
234301227254495,447503079582,543308354677239,113.78.65.128,260404181606+0100,234,30,23430,62588370,64822021,72379723,234-30-2140,234-30-2140-25,3G,Tablet,1637
206058733930493,324865380274,799264581242114,209.38.21.222,260404231428+0100,206,05,20605,30762002,48736345,47919076,206-05-8253,206-05-8253-42,5G,Tablet,454
206015110090605,324608868430,303295301166732,185.166.244.167,260405052217+0100,206,01,20601,50678465,30217943,34448588,206-01-4727,206-01-4727-64,4G,Smartphone,496
3104107259250169,120256978079,784006762307008,51.55.134.218,260403194207-0500,310,410,310410,72124404,76599370,79479334,310-410-7340,310-410-7340-63,4G,Smartphone,1178
240029569240138,467398646848,117301218522824,128.117.208.149,260407125834+0200,240,02,24002,27250909,26133426,19831778,240-02-7482,240-02-7482-62,4G,Smartphone,2408
206015300723248,324744405137,477697778870554,39.24.209.106,260406233922+0200,206,01,20601,56722724,47736139,25402802,206-01-9004,206-01-9004-83,4G,Smartphone,2384
234332405741193,447539103891,632105936770952,41.115.192.16,260404230117+0100,234,33,23433,52432871,67024194,77932424,234-33-8138,234-33-8138-30,3G,Tablet,1362
3104805701430276,151299182440,476496762832420,71.93.142.153,260407213004-0700,310,480,310480,71383672,90312238,87194991,310-480-9476,310-480-9476-88,5G,Smartphone,2342
240242882392754,467038705544,136082065475532,78.149.226.163,260406174318+0100,240,24,24024,19897204,13784465,16759719,240-24-2129,240-24-2129-37,5G,Smartphone,1887
206103278668689,324984200326,544205690305241,89.75.254.210,260407003638+0100,206,10,20610,33242705,39146308,50330443,206-10-9117,206-10-9117-23,5G,Tablet,1467
234151641573376,447840913417,780253531090719,6.82.169.117,260403144022+0000,234,15,23415,62560722,66170632,71553811,234-15-7078,234-15-7078-87,3G,IoT Device,1496
240053210954968,467617730790,868928169199846,63.37.159.222,260405030442+0200,240,05,24005,24962452,24071781,12286720,240-05-4111,240-05-4111-37,5G,Tablet,1538
240249988704628,467059336883,161085061160641,211.105.41.194,260407052027+0200,240,24,24024,22895660,22979503,27118055,240-24-7211,240-24-7211-86,3G,Tablet,2571
206101728471271,324992724198,753164268333306,83.74.116.106,260407210222+0200,206,10,20610,42213775,41594109,47020329,206-10-9117,206-10-9117-55,5G,Tablet,2310
234309159658668,447340348454,535353123679326,70.48.7.138,260404071131+0100,234,30,23430,56377327,57309325,58743527,234-30-8242,234-30-8242-87,3G,Tablet,1834
206201289622068,324643233302,389474259934460,45.203.225.198,260404171127+0100,206,20,20620,56424051,43459876,52326573,206-20-8110,206-20-8110-91,5G,IoT Device,788
3102600397851412,120211906773,660729738523747,204.74.108.139,260404233642-0800,310,260,310260,83946929,74094710,72757781,310-260-6850,310-260-6850-41,5G,Smartphone,2034
206058932010898,324507232274,690307718301944,222.227.90.202,260408110450+0100,206,05,20605,34148104,30197389,42077659,206-05-9090,206-05-9090-64,5G,IoT Device,1680
240043155254178,467221126818,653452348506345,71.82.40.28,260404054857+0200,240,04,24004,27692670,32666830,21438435,240-04-8177,240-04-8177-37,5G,IoT Device,2133
3104100723149204,161793064041,274606211070431,85.35.135.218,260406005907-0500,310,410,310410,70980512,81677476,89861713,310-410-3621,310-410-3621-88,3G,IoT Device,1329
240025955942298,467033241997,720110231180167,179.130.62.230,260407170429+0100,240,02,24002,33392010,25461335,19882185,240-02-5119,240-02-5119-43,5G,Tablet,1310
3101201322266509,161701705694,903688920457884,117.137.222.203,260403211234-0800,310,120,310120,86506725,73978815,82328921,310-120-5469,310-120-5469-30,4G,Tablet,2624
206050506413836,324802410386,599950267191826,175.36.64.74,260330224501+0100,206,05,20605,32510894,49860726,44052902,206-05-1104,206-05-1104-62,3G,Smartphone,36
234151676718776,447488363688,992281245016276,13.197.8.114,260405073332+0100,234,15,23415,55767925,69868402,55332312,234-15-3063,234-15-3063-87,5G,Tablet,709
206201363177626,324518357841,715975020870145,55.174.243.41,260403120458+0100,206,20,20620,30282030,43738223,54117801,206-20-1715,206-20-1715-23,4G,Smartphone,2541
234209737268323,447448337557,956188033785139,60.50.191.118,260402222639+0100,234,20,23420,56573218,52561710,53593955,234-20-5712,234-20-5712-87,4G,Smartphone,1921
206106126944655,324573723423,780403722389256,20.148.107.158,260407071933+0100,206,10,20610,41451259,48559891,33478080,206-10-8905,206-10-8905-64,4G,Smartphone,2458
206055277113151,324867882355,204206183532759,168.218.64.137,260404184328+0200,206,05,20605,34672406,37456069,36773063,206-05-9502,206-05-9502-64,5G,Smartphone,2864
3101208553893175,120209561488,129259781939434,41.61.15.24,260406190233-0500,310,120,310120,89925504,78016079,97057574,310-120-8361,310-120-8361-88,4G,Smartphone,2964
3104107967467269,161763013332,755232609882170,186.63.89.223,260406070257-0700,310,410,310410,75738333,91507768,92986664,310-410-9612,310-410-9612-88,4G,IoT Device,1518
240042674693443,467222837213,110727522732204,135.84.129.170,260402180549+0200,240,04,24004,20164253,28364504,19682438,240-04-4502,240-04-4502-34,5G,IoT Device,2316
206204186567385,324848800125,424968549053215,119.29.121.102,260402220132+0100,206,20,20620,53906358,50044225,51843302,206-20-8692,206-20-8692-83,5G,Smartphone,2478
3102605756264126,120284818762,118945649906931,159.83.180.155,260407152541-0600,310,260,310260,90250346,84478313,81139610,310-260-8612,310-260-8612-63,3G,Smartphone,719
3104101295145205,161702860604,841442990224065,90.150.80.243,260405063552-0700,310,410,310410,98427260,80080956,97018047,310-410-5264,310-410-5264-30,3G,Smartphone,759
206052975703409,324818148543,639438092748187,185.67.38.160,260405231301+0100,206,05,20605,36360032,33891213,41066227,206-05-5334,206-05-5334-64,5G,Tablet,2129
234200588095924,447498158832,308397885702116,147.85.130.143,260404080224+0000,234,20,23420,68216589,63102341,63501530,234-20-6793,234-20-6793-46,4G,IoT Device,1730
234309247157561,447380103022,237706852395512,165.0.225.92,260408025448+0100,234,30,23430,53239167,64009686,70008906,234-30-7636,234-30-7636-35,5G,Tablet,1504
3102605468175579,141587806686,607422640968507,209.13.136.11,260401203111-0800,310,260,310260,82441256,83047227,93132147,310-260-7018,310-260-7018-51,5G,Smartphone,2451
234201552065063,447731495013,651764834971892,185.82.25.161,260404183633+0000,234,20,23420,58453708,53179100,70128201,234-20-7132,234-20-7132-46,3G,Smartphone,200
206109758456271,324670244698,471261875989090,155.39.224.174,260404055344+0100,206,10,20610,42737329,43396014,52290441,206-10-1845,206-10-1845-64,5G,Smartphone,1547
206051843905529,324780660138,297989864127049,23.176.187.209,260407064430+0100,206,05,20605,36666708,53109497,41960618,206-05-3573,206-05-3573-71,5G,Smartphone,296
240059185362054,467393392719,524396624063856,210.68.118.162,260408082825+0100,240,05,24005,25303727,10282970,14706765,240-05-5861,240-05-5861-55,4G,Smartphone,979
234382021758928,447490537013,961770867607203,186.163.254.16,260402101213+0100,234,38,23438,55122326,74556236,59369565,234-38-4918,234-38-4918-87,4G,IoT Device,1540
206206641650765,324873857517,219929694522414,29.199.237.7,260406132525+0200,206,20,20620,55082232,52376483,44784698,206-20-3529,206-20-3529-91,5G,Smartphone,2905
240087482875833,467083902157,421600842083616,134.148.43.176,260402035352+0200,240,08,24008,33580108,16201270,14766045,240-08-1027,240-08-1027-37,5G,Smartphone,2238
234331960472205,447497077454,497641337082317,207.168.104.137,260406141711+0100,234,33,23433,75189816,52131492,59706473,234-33-3842,234-33-3842-35,3G,Tablet,627
206017976627051,324557942387,390452336704254,39.24.209.106,260406015634+0200,206,01,20601,52953163,50752751,39394765,206-01-5820,206-01-5820-91,5G,Smartphone,360
3104808210690884,120238753596,606249952354679,56.80.29.244,260403020149-0500,310,480,310480,81959819,77346687,78673978,310-480-1464,310-480-1464-88,4G,Smartphone,2677
240023640638636,467057470767,166927263100511,109.175.48.85,260401221216+0100,240,02,24002,12816505,32359583,15763985,240-02-1188,240-02-1188-43,5G,Smartphone,2998
234107094168406,447357363561,909039910628360,111.26.63.173,260407204357+0000,234,10,23410,51142259,63222992,77138821,234-10-5986,234-10-5986-35,3G,Smartphone,2847
234384300037539,447892313246,562486929866932,114.176.171.237,260407214038+0100,234,38,23438,66064109,67964124,73944631,234-38-6401,234-38-6401-25,3G,Smartphone,690
3101206924768834,120203414131,792118781181405,29.199.155.169,260405103800-0500,310,120,310120,72883126,93401115,80532740,310-120-8032,310-120-8032-34,4G,IoT Device,814
206107581835002,324687408975,965795277842351,90.2.235.24,260407162448+0100,206,10,20610,51081385,48831573,47602720,206-10-3434,206-10-3434-98,3G,Smartphone,1690
240080512080056,467309951239,768674542835129,129.153.198.180,260402202133+0200,240,08,24008,22555004,29259741,15936728,240-08-3414,240-08-3414-55,5G,IoT Device,341
240070385242762,467215596374,376351929639949,115.11.24.126,260406101014+0200,240,07,24007,21301699,30014361,19698250,240-07-5533,240-07-5533-55,5G,Tablet,893
206059466853241,324784268988,147328947757465,10.225.131.85,260405044641+0100,206,05,20605,47772289,41366961,47707841,206-05-1977,206-05-1977-40,4G,Smartphone,1541
240056121747267,467234068877,300164937538668,28.213.82.112,260407182104+0200,240,05,24005,29971477,33141307,26314683,240-05-6138,240-05-6138-53,5G,Smartphone,2047
234154677696887,447364108091,110303447299672,97.25.187.221,260405152431+0000,234,15,23415,55904463,59521931,75833301,234-15-7523,234-15-7523-57,3G,IoT Device,1976
3104807303753745,120288306829,449442648170496,98.4.243.212,260403033620-0800,310,480,310480,86378377,74998427,85036264,310-480-3981,310-480-3981-88,3G,IoT Device,1784
3104805760849588,120239551240,555202666829962,1.48.211.68,260407002755-0500,310,480,310480,89971325,73920655,85688415,310-480-5336,310-480-5336-63,5G,Tablet,112
240242621684720,467206314109,275541824432954,34.122.118.194,260405213359+0200,240,24,24024,10141794,32293911,21543972,240-24-5558,240-24-5558-37,5G,Smartphone,1789
3104807419640009,130556835962,698757528387776,3.59.144.205,260407184340-0600,310,480,310480,81022104,78747900,65009903,310-480-8632,310-480-8632-63,5G,Smartphone,1348
206107702538369,324879109922,111941318969582,30.182.78.138,260403002955+0200,206,10,20610,59092308,51108991,37200718,206-10-5722,206-10-5722-91,3G,Smartphone,2494
234338554179394,447414914215,438810214096762,198.209.208.129,260402124528+0100,234,33,23433,60444882,54785042,68463186,234-33-2734,234-33-2734-71,4G,Tablet,1400
240057607987679,467936891952,159408799846347,134.76.122.123,260407180047+0200,240,05,24005,24926395,25694287,18640045,240-05-6183,240-05-6183-40,4G,Smartphone,2279
3102606062230635,151273577569,488333882984104,139.131.237.108,260404075244-0800,310,260,310260,99523623,70281850,67371273,310-260-9406,310-260-9406-41,4G,Smartphone,1056
240160124040341,467660971377,744697199386404,34.122.118.194,260401173757+0200,240,16,24016,25626149,11027847,19117264,240-16-9270,240-16-9270-62,4G,Smartphone,2168
206202691480405,324712733450,586541456353847,189.71.53.84,260403124657+0200,206,20,20620,59434890,43938463,30784482,206-20-3588,206-20-3588-71,3G,IoT Device,2766
206051656088041,324990244628,807137382617346,189.71.53.84,260403190958+0100,206,05,20605,31140323,48290779,40351538,206-05-8253,206-05-8253-64,5G,IoT Device,1257
206200463721626,324803235841,818316360295599,55.174.243.41,260406160624+0200,206,20,20620,49051330,46431802,40717134,206-20-1153,206-20-1153-91,5G,Tablet,827
240053690047904,467644940581,541052131939427,130.8.186.60,260402094809+0100,240,05,24005,28781243,28945949,13124702,240-05-5333,240-05-5333-45,4G,Tablet,1228
206015483388067,324591742518,984649506975667,147.227.84.142,260406044734+0200,206,01,20601,33395740,45169497,47007982,206-01-8381,206-01-8381-91,5G,IoT Device,2209
240074658899872,467344631284,287624380927493,169.107.68.250,260404234745+0200,240,07,24007,33000769,29029401,11486027,240-07-6974,240-07-6974-40,4G,Tablet,1548
3102609903970970,141592210561,980825812199975,66.38.29.24,260405151012-0600,310,260,310260,75575194,82186123,81824353,310-260-6021,310-260-6021-88,4G,Smartphone,2410
240076124815698,467370027206,368536544591123,60.11.55.72,260406173559+0100,240,07,24007,27326364,33943232,14365195,240-07-2137,240-07-2137-20,5G,Tablet,157
206011757601808,324875226249,216108785289328,85.63.102.180,260405111759+0200,206,01,20601,33602206,43546035,54269639,206-01-7565,206-01-7565-91,3G,Tablet,1460
234106345300470,447419416444,361831613584246,140.78.14.93,260402065328+0000,234,10,23410,64766966,74836624,51947395,234-10-6992,234-10-6992-30,3G,Smartphone,2978
3102606664505730,130562792463,291012400374767,117.26.58.194,260404004836-0500,310,260,310260,93920628,85609679,89935447,310-260-6850,310-260-6850-41,4G,Tablet,389
234207219304180,447848296046,310406710873843,156.203.136.5,260404195317+0100,234,20,23420,54658465,55635490,53345798,234-20-8030,234-20-8030-87,3G,Smartphone,2022
206018585218625,324695639487,478429262243490,71.82.143.96,260405142316+0200,206,01,20601,49799197,36741314,51799349,206-01-9004,206-01-9004-58,5G,Smartphone,2029
206053227026728,324957448906,232841722034717,77.206.187.126,260327052652+0100,206,05,20605,54984402,41229210,33716405,206-05-5422,206-05-5422-40,5G,IoT Device,85
234333790229309,447543121345,543400187999007,207.168.104.137,260402084947+0100,234,33,23433,56225650,61497037,63457853,234-33-4986,234-33-4986-35,3G,IoT Device,1269
3104106310323197,151270254616,784370494446964,15.244.217.8,260403085159-0500,310,410,310410,82263262,91596726,98895094,310-410-4515,310-410-4515-41,5G,IoT Device,1171
206101268812282,324578192365,402448974606056,110.137.73.184,260407000244+0100,206,10,20610,30928291,36462774,47537034,206-10-1042,206-10-1042-35,4G,Smartphone,378
240241193910382,467974255136,156723819085818,9.116.93.109,260403231827+0100,240,24,24024,34064529,14127763,11433327,240-24-2729,240-24-2729-43,5G,Smartphone,554
206105089177680,324998126574,293208402319646,195.118.141.188,260406012531+0100,206,10,20610,37389945,31405650,26476845,206-10-9889,206-10-9889-91,4G,Smartphone,391
206104342050240,324905083450,363037097350926,190.49.169.160,260406194830+0200,206,10,20610,56115265,49068479,30789692,206-10-6153,206-10-6153-91,3G,IoT Device,2223
206100096318009,324963316659,401967067350103,195.118.141.188,260402100023+0100,206,10,20610,47426031,31408340,25374816,206-10-9903,206-10-9903-98,3G,Smartphone,2514
234202041689394,447441850489,179104890606708,194.220.78.209,260405184404+0100,234,20,23420,73735571,66587192,63379253,234-20-4705,234-20-4705-87,5G,Tablet,2235
3101206382459622,130597248439,673978010996079,133.112.88.19,260408012914-0600,310,120,310120,76384050,89478784,70324287,310-120-4637,310-120-4637-41,5G,Smartphone,2164
234301159485340,447312762239,812769334742256,68.77.141.41,260408085456+0000,234,30,23430,73995862,65471785,75049163,234-30-2140,234-30-2140-35,4G,IoT Device,640
240044344417566,467619621323,883423322950197,27.90.185.224,260404210204+0200,240,04,24004,37177901,22904168,12755110,240-04-1993,240-04-1993-37,5G,Smartphone,1741
240240637579145,467211823793,212593612697893,22.56.208.61,260404002037+0200,240,24,24024,11977461,26556352,18456517,240-24-6511,240-24-6511-86,5G,Smartphone,289
206019136997548,324693777271,585934354224125,178.183.247.210,260408041203+0200,206,01,20601,55587045,30050331,49044375,206-01-4937,206-01-4937-91,4G,Smartphone,1425
206205916449153,324618011308,522309912315682,65.83.228.191,260407090416+0100,206,20,20620,59769873,37912892,34724736,206-20-8622,206-20-8622-98,4G,IoT Device,967
3102606312241797,141597350208,129703572144270,109.58.94.133,260407200306-0700,310,260,310260,77811824,73026508,75112211,310-260-5664,310-260-5664-93,4G,IoT Device,90
3104106531451341,151200545583,488949625595562,102.64.16.182,260404191120-0500,310,410,310410,74128068,84225826,79407576,310-410-3852,310-410-3852-69,4G,IoT Device,937
206201908578825,324942208652,171212627748602,197.0.171.126,260407232109+0200,206,20,20620,41862232,43649815,54994074,206-20-5708,206-20-5708-91,5G,IoT Device,2205
206053267484643,324503233854,425754697673058,90.241.4.143,260403233632+0200,206,05,20605,41504280,48054360,30839216,206-05-8253,206-05-8253-91,4G,Tablet,1550
234333984167347,447853698816,493214049804450,60.50.191.118,260404220104+0100,234,33,23433,76586358,70298015,55592359,234-33-5500,234-33-5500-80,3G,IoT Device,541
206010537953816,324793831849,200427339665533,185.166.244.167,260406030418+0100,206,01,20601,31666304,46573683,41731950,206-01-5853,206-01-5853-64,3G,Smartphone,251
206019011386047,324947199038,122382583514895,222.22.253.13,260406095530+0100,206,01,20601,54489791,38250762,43794491,206-01-2524,206-01-2524-55,3G,IoT Device,761
240247091177864,467964658894,911049482147585,169.17.138.157,260405022934+0100,240,24,24024,24901042,11970344,18437177,240-24-4908,240-24-4908-20,4G,Smartphone,2949
206200262498724,324958069530,289558820331541,24.99.160.83,260404054225+0100,206,20,20620,37776998,49003175,52081405,206-20-1715,206-20-1715-64,4G,Smartphone,2854
240042048730451,467945586817,399770624188079,47.182.49.91,260405031504+0100,240,04,24004,32056019,23513702,20458863,240-04-7669,240-04-7669-37,4G,Smartphone,978
3104809182455372,141520092996,948748289528070,176.132.223.153,260404045819-0600,310,480,310480,86190107,94394261,95746373,310-480-8632,310-480-8632-69,3G,Smartphone,2487
234330912944314,447340878343,952517637798240,17.80.14.221,260402182002+0000,234,33,23433,75378054,54985769,53243668,234-33-4986,234-33-4986-35,4G,Tablet,909
206011093888295,324837973678,862912868801962,81.168.10.166,260406140848+0200,206,01,20601,35783802,36824065,28191449,206-01-2070,206-01-2070-64,5G,IoT Device,2620
234307616553226,447742651976,286177171266350,133.132.141.242,260407224548+0100,234,30,23430,60718313,66054823,50079624,234-30-2140,234-30-2140-35,4G,Smartphone,2741
206013404337009,324887304519,592977897782558,113.187.67.51,260404060652+0100,206,01,20601,48145130,34888736,35761283,206-01-5853,206-01-5853-55,5G,Tablet,370
234338947939836,447569061096,147665553382238,162.51.155.161,260407052457+0000,234,33,23433,71170246,73728226,55563744,234-33-8155,234-33-8155-87,3G,IoT Device,2104
3101206975078388,151255899135,501930196652289,73.222.193.153,260403171807-0800,310,120,310120,85433139,81470342,80039389,310-120-8361,310-120-8361-41,4G,Smartphone,2602
234380127706324,447441541520,631960644361103,165.156.240.176,260403001715+0000,234,38,23438,65998978,52615189,54452666,234-38-1752,234-38-1752-22,4G,IoT Device,29
234337551887017,447899324202,485246668374441,32.133.250.131,260403100003+0100,234,33,23433,75789347,66650053,55644468,234-33-2734,234-33-2734-20,5G,IoT Device,604
240058096348936,467394557017,322808887853987,147.66.195.70,260404090456+0100,240,05,24005,18788443,34267703,21332159,240-05-7930,240-05-7930-86,4G,IoT Device,2442
3104101415501457,120204017337,548425809112861,201.216.179.126,260402212850-0800,310,410,310410,77671963,74015416,99617454,310-410-1424,310-410-1424-88,4G,IoT Device,2215
